Column1;Name;Querylist
177;Hannu Takkula;['Hannu Takkula*', 'Hannu Takkula']
178;Seppo Lahtela;['Seppo Lahtela*', 'Seppo Lahtela']
179;Kyösti Karjula;['Kyösti Karjula*', 'Kyösti Karjula']
180;Inkeri Kerola;['Inkeri Kerola*', 'Inkeri Kerola']
181;Timo Korva;['Timo Korva*', 'Timo Korva']
182;Juha Rehula;['Juha Rehula*', 'Juha Rehula']
183;Pekka Vilkuna;['Pekka Vilkuna*', 'Pekka Vilkuna']
184;Risto Kuisma;['Risto Kuisma*', 'Risto Kuisma']
185;Erkki Tuomioja;['Erkki Tuomioja*', 'Erkki Tuomioja']
186;Ulla Juurola;['Ulla Juurola*', 'Ulla Juurola']
187;Erkki Kanerva;['Erkki Kanerva*', 'Erkki Kanerva']
188;Esa Lahtela;['Esa Lahtela*', 'Esa Lahtela']
189;Jukka Mikkola;['Jukka Mikkola*', 'Jukka Mikkola']
190;Marjatta Vehkaoja;['Marjatta Vehkaoja*', 'Marjatta Vehkaoja']
191;Sirpa Asko-Seljavaara;['Sirpa Asko-Seljavaara*', 'Sirpa Asko-Seljavaara']
192;Susanna Haapoja;['Susanna Haapoja*', 'Susanna Haapoja']
193;Heidi Hautala;['Heidi Hautala*', 'Heidi Hautala']
194;Lasse Hautala;['Lasse Hautala*', 'Lasse Hautala']
195;Eero Heinäluoma;['Eero Heinäluoma*', 'Eero Heinäluoma']
196;Tanja Saarela;['Tanja Saarela*', 'Tanja Saarela']
197;Matti Kauppila;['Matti Kauppila*', 'Matti Kauppila']
198;Miapetra Kumpula;['Miapetra Kumpula*', 'Miapetra Kumpula']
199;Eero Lankia;['Eero Lankia*', 'Eero Lankia']
200;Reino Ojala;['Reino Ojala*', 'Reino Ojala']
201;Heikki Ollila;['Heikki Ollila*', 'Heikki Ollila']
202;Lyly Rajala;['Lyly Rajala*', 'Lyly Rajala']
203;Pertti Salovaara;['Pertti Salovaara*', 'Pertti Salovaara']
204;Ahti Vielma;['Ahti Vielma*', 'Ahti Vielma']
205;Juha Hakola;['Juha Hakola*', 'Juha Hakola']
206;Timo Juurikkala;['Timo Juurikkala*', 'Timo Juurikkala']
207;Ilkka Kantola;['Ilkka Kantola*', 'Ilkka Kantola']
208;Arja Karhuvaara;['Arja Karhuvaara*', 'Arja Karhuvaara']
209;Sampsa Kataja;['Sampsa Kataja*', 'Sampsa Kataja']
210;Tuomo Puumala;['Tuomo Puumala*', 'Tuomo Puumala']
211;Katja Taimela;['Katja Taimela*', 'Katja Taimela']
212;Tuulikki Ukkola;['Tuulikki Ukkola*', 'Tuulikki Ukkola']
213;Juho Eerola;['Juho Eerola*', 'Juho Eerola']
214;Ritva Elomaa;['Ritva Elomaa*', 'Ritva Elomaa']
215;Johanna Jurva;['Johanna Jurva*', 'Johanna Jurva']
216;Pia Kauma;['Pia Kauma*', 'Pia Kauma']
217;Anna Kontula;['Anna Kontula*', 'Anna Kontula']
218;Jukka Kopra;['Jukka Kopra*', 'Jukka Kopra']
219;Laila Koskela;['Laila Koskela*', 'Laila Koskela']
220;Maria Lohela;['Maria Lohela*', 'Maria Lohela']
221;Eeva-Maria Maijala;['Eeva-Maria Maijala*', 'Eeva-Maria Maijala']
222;Pirkko Mattila;['Pirkko Mattila*', 'Pirkko Mattila']
223;Markku Mäntymaa;['Markku Mäntymaa*', 'Markku Mäntymaa']
224;Mikael Palola;['Mikael Palola*', 'Mikael Palola']
225;Vesa-Matti Saarakkala;['Vesa-Matti Saarakkala*', 'Vesa-Matti Saarakkala']
226;Mikko Savola;['Mikko Savola*', 'Mikko Savola']
227;Ismo Soukola;['Ismo Soukola*', 'Ismo Soukola']
228;Jani Toivola;['Jani Toivola*', 'Jani Toivola']
229;Tiina Elovaara;['Tiina Elovaara*', 'Tiina Elovaara']
230;Maria Guzenina;['Maria Guzenina*', 'Maria Guzenina']
231;Marisanna Jarva;['Marisanna Jarva*', 'Marisanna Jarva']
232;Kari Kulmala;['Kari Kulmala*', 'Kari Kulmala']
233;Jaana Laitinen-Pesola;['Jaana Laitinen-Pesola*', 'Jaana Laitinen-Pesola']
234;Hanna-Leena Mattila;['Hanna-Leena Mattila*', 'Hanna-Leena Mattila']
235;Sari Multala;['Sari Multala*', 'Sari Multala']
236;Eija Nivala;['Eija Nivala*', 'Eija Nivala']
237;Pekka Puska;['Pekka Puska*', 'Pekka Puska']
238;Sari Raassina;['Sari Raassina*', 'Sari Raassina']
239;Martti Talja;['Martti Talja*', 'Martti Talja']
240;Antero Vartia;['Antero Vartia*', 'Antero Vartia']
241;Hanna Markkula-Kivisilta;['Hanna Markkula-Kivisilta*', 'Hanna Markkula-Kivisilta']
242;Mikko Kuoppa;['Mikko Kuoppa*', 'Mikko Kuoppa']
243;Osmo Puhakka;['Osmo Puhakka*', 'Osmo Puhakka']
244;Jari Larikka;['Jari Larikka*', 'Jari Larikka']
245;Lenita Toivakka;['Lenita Toivakka*', 'Lenita Toivakka']
246;Timo Harakka;['Timo Harakka*', 'Timo Harakka']
247;Eero Akaan-Penttilä;['Eero Akaan-Penttilä*', 'Eero Akaan-Penttilä']
248;Ville Itälä;['Ville Itälä*', 'Ville Itälä']
249;Pertti Hemmilä;['Pertti Hemmilä*', 'Pertti Hemmilä']
250;Timo Seppälä;['Timo Seppälä*', 'Timo Seppälä']
251;Esko-Juhani Tennilä;['Esko-Juhani Tennilä*', 'Esko-Juhani Tennilä']
252;Olavi Ala-Nissilä;['Olavi Ala-Nissilä*', 'Olavi Ala-Nissilä']
253;Mika Lintilä;['Mika Lintilä*', 'Mika Lintilä']
254;Jari Leppä;['Jari Leppä*', 'Jari Leppä']
255;Eero Lämsä;['Eero Lämsä*', 'Eero Lämsä']
256;Tero Mölsä;['Tero Mölsä*', 'Tero Mölsä']
257;Jukka Vihriälä;['Jukka Vihriälä*', 'Jukka Vihriälä']
258;Liisa Hyssälä;['Liisa Hyssälä*', 'Liisa Hyssälä']
259;Arto Seppälä;['Arto Seppälä*', 'Arto Seppälä']
260;Jukka Mäkelä;['Jukka Mäkelä*', 'Jukka Mäkelä']
261;Outi Mäkelä;['Outi Mäkelä*', 'Outi Mäkelä']
262;Johanna Ojala-Niemelä;['Johanna Ojala-Niemelä*', 'Johanna Ojala-Niemelä']
263;Mirja Vehkaperä;['Mirja Vehkaperä*', 'Mirja Vehkaperä']
264;Markku Eestilä;['Markku Eestilä*', 'Markku Eestilä']
265;Lauri Heikkilä;['Lauri Heikkilä*', 'Lauri Heikkilä']
266;Kimmo Kivelä;['Kimmo Kivelä*', 'Kimmo Kivelä']
267;Jukka Kärnä;['Jukka K�rn�*']
268;Lea Mäkipää;['Lea Mäkipää*', 'Lea Mäkipää']
269;Hanna Mäntylä;['Hanna Mäntylä*', 'Hanna Mäntylä']
270;Martti Mölsä;['Martti Mölsä*', 'Martti Mölsä']
271;Juha Sipilä;['Juha Sipilä*', 'Juha Sipilä']
272;Hanna Halmeenpää;['Hanna Halmeenpää*', 'Hanna Halmeenpää']
273;Mikko Kärnä;['Mikko Kärnä*', 'Mikko Kärnä']
274;Jani Mäkelä;['Jani Mäkelä*', 'Jani Mäkelä']
275;Anne Holmlund;['Anne Holmlund*', 'Anne Holmlund']
276;Rainer Erlund;['Rainer Erlund*', 'Rainer Erlund']
277;Mats Nylund;['Mats Nylund*', 'Mats Nylund']
278;Carl Haglund;['Carl Haglund*', 'Carl Haglund']
279;Joakim Strand;['Joakim Strand*', 'Joakim Strand']
280;Suvi Lindén;['Suvi Lindén*', 'Suvi Lindén']
281;Jari Vilén;['Jari Vilén*', 'Jari Vilén']
282;Lasse Virén;['Lasse Virén*', 'Lasse Virén']
283;Christina Gestrin;['Christina Gestrin*', 'Christina Gestrin']
284;Håkan Nordman;['Håkan Nordman*', 'Håkan Nordman']
285;Gunnar Jansson;['Gunnar Jansson*', 'Gunnar Jansson']
286;Janina Andersson;['Janina Andersson*', 'Janina Andersson']
287;Irina Krohn;['Irina Krohn*', 'Irina Krohn']
288;Jouni Backman;['Jouni Backman*', 'Jouni Backman']
289;Jukka Gustafsson;['Jukka Gustafsson*', 'Jukka Gustafsson']
290;Kalevi Olin;['Kalevi Olin*', 'Kalevi Olin']
291;Harry Wallin;['Harry Wallin*', 'Harry Wallin']
292;Roger Jansson;['Roger Jansson*', 'Roger Jansson']
293;Simo Rundgren;['Simo Rundgren*', 'Simo Rundgren']
294;Claes Andersson;['Claes Andersson*', 'Claes Andersson']
295;Maria Guzenina-Richardson;['Maria Guzenina-Richardson*', 'Maria Guzenina-Richardson']
296;Anna-Maja Henriksson;['Anna-Maja Henriksson*', 'Anna-Maja Henriksson']
297;Jacob Söderman;['Jacob Söderman*', 'Jacob Söderman']
298;Tommy Tabermann;['Tommy Tabermann*', 'Tommy Tabermann']
299;Stefan Wallin;['Stefan Wallin*', 'Stefan Wallin']
300;Antti Lindtman;['Antti Lindtman*', 'Antti Lindtman']
301;Tom Packalén;['Tom Packalén*', 'Tom Packalén']
302;Sofia Vikman;['Sofia Vikman*', 'Sofia Vikman']
303;Peter Östman;['Peter Östman*', 'Peter Östman']
304;Li Andersson;['Li Andersson*', 'Li Andersson']
305;Sanna Marin;['Sanna Marin*', 'Sanna Marin']
306;Olli Rehn;['Olli Rehn*', 'Olli Rehn']
307;Wille Rydman;['Wille Rydman*', 'Wille Rydman']
308;Saara-Sofia Sirén;['Saara-Sofia Sirén*', 'Saara-Sofia Sirén']
309;Kaarina Dromberg;['Kaarina Dromberg*', 'Kaarina Dromberg']
310;Klaus Hellberg;['Klaus Hellberg*', 'Klaus Hellberg']
311;Tarja Cronberg;['Tarja Cronberg*', 'Tarja Cronberg']
312;Hanna-Leena Hemming;['Hanna-Leena Hemming*', 'Hanna-Leena Hemming']
313;Silvia Modig;['Silvia Modig*', 'Silvia Modig']
314;Ben Zyskowicz;['Ben Zyskowicz*', 'Ben Zyskowicz']
315;Anders Adlercreutz;['Anders Adlercreutz*', 'Anders Adlercreutz']
316;Juhani Sjöblom;['Juhani Sjöblom*', 'Juhani Sjöblom']
317;Jan-Erik Enestam;['Jan-Erik Enestam*', 'Jan-Erik Enestam']
318;Marjo Matikainen-Kallström;['Marjo Matikainen-Kallström*', 'Marjo Matikainen-Kallström']
319;Sari Palm;['Sari Palm*', 'Sari Palm']
320;Jari Lindström;['Jari Lindström*', 'Jari Lindström']
321;Mats Löfström;['Mats Löfström*', 'Mats Löfström']
322;Eva Biaudet;['Eva Biaudet*', 'Eva Biaudet']
323;Maija-Liisa Lindqvist;['Maija-Liisa Lindqvist*', 'Maija-Liisa Lindqvist']
324;Thomas Blomqvist;['Thomas Blomqvist*', 'Thomas Blomqvist']
325;Tarja Tallqvist;['Tarja Tallqvist*', 'Tarja Tallqvist']
326;Henrik Lax;['Henrik Lax*', 'Henrik Lax']
327;Tuija Brax;['Tuija Brax*', 'Tuija Brax']
328;Nils-Anders Granvik;['Nils-Anders Granvik*', 'Nils-Anders Granvik']
329;Maija Rask;['Maija Rask*', 'Maija Rask']
330;Pehr Löv;['Pehr Löv*', 'Pehr Löv']
331;Tarja Filatov;['Tarja Filatov*', 'Tarja Filatov']
