,name,party,firstname,lastname,position,years,key
56,"Kanerva, Ilkka",Kokoomus,Ilkka,Kanerva, ,2003-2007,Ilkka_Kanerva
57,"Kangas, Matti",Vasemmistoliitto,Matti,Kangas, ,2003-2007,Matti_Kangas
58,"Kankaanniemi, Toimi",Kristillisdemokraatit,Toimi,Kankaanniemi, ,2003-2007,Toimi_Kankaanniemi
59,"Karhu, Saara",SDP,Saara,Karhu, ,2003-2007,Saara_Karhu
60,"Karjula, Kyösti",Keskusta,Kyösti,Karjula, ,2003-2007,Kyösti_Karjula
61,"Saarela, Tanja",Keskusta,Tanja,Saarela, Kulttuuriministeri;;Kulttuuriministeri;;,2003-2007,Tanja_Saarela
62,"Karttunen, Marjukka",Kokoomus,Marjukka,Karttunen, ,2003-2007,Marjukka_Karttunen
63,"Karvonen, Tatja",Keskusta,Tatja,Karvonen, ,2003-2007,Tatja_Karvonen
64,"Kasvi, Jyrki",Vihreät,Jyrki,Kasvi, ,2003-2007,Jyrki_Kasvi
65,"Katainen, Jyrki",Kokoomus,Jyrki,Katainen, ,2003-2007,Jyrki_Katainen
66,"Kauppila, Matti",Vasemmistoliitto,Matti,Kauppila, ,2003-2007,Matti_Kauppila
67,"Kekkonen, Antero",SDP,Antero,Kekkonen, ,2003-2007,Antero_Kekkonen
68,"Kerola, Inkeri",Keskusta,Inkeri,Kerola, ,2003-2007,Inkeri_Kerola
69,"Kettunen, Rauno",Keskusta,Rauno,Kettunen, ,2003-2007,Rauno_Kettunen
70,"Kiljunen, Anneli",SDP,Anneli,Kiljunen, ,2003-2007,Anneli_Kiljunen
71,"Kiljunen, Kimmo",SDP,Kimmo,Kiljunen, ,2003-2007,Kimmo_Kiljunen
72,"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;;,2003-2007,Mari_Kiviniemi
73,"Kiviranta, Esko",Keskusta,Esko,Kiviranta, ,2003-2007,Esko_Kiviranta
74,"Komi, Katri",Keskusta,Katri,Komi, ,2003-2007,Katri_Komi
75,"Korhonen, Martti",Vasemmistoliitto,Martti,Korhonen, ,2003-2007,Martti_Korhonen
76,"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;,2003-2007,Juha_Korkeaoja
77,"Koski, Markku",Keskusta,Markku,Koski, ,2003-2007,Markku_Koski
78,"Koski, Valto",SDP,Valto,Koski, ,2003-2007,Valto_Koski
79,"Koskinen, Jari",Kokoomus,Jari,Koskinen, ,2003-2007,Jari_Koskinen
80,"Koskinen, Johannes",SDP,Johannes,Koskinen, Oikeusministeri;;Oikeusministeri;;,2003-2007,Johannes_Koskinen
81,"Koskinen, Marjaana",SDP,Marjaana,Koskinen, ,2003-2007,Marjaana_Koskinen
82,"Krohn, Irina",Vihreät,Irina,Krohn, ,2003-2007,Irina_Krohn
83,"Kuisma, Risto",SDP,Risto,Kuisma, ,2003-2007,Risto_Kuisma
84,"Kumpula, Miapetra",SDP,Miapetra,Kumpula, ,2003-2007,Miapetra_Kumpula
85,"Kuoppa, Mikko",Vasemmistoliitto,Mikko,Kuoppa, ,2003-2007,Mikko_Kuoppa
86,"Kuosmanen, Pekka",Kokoomus,Pekka,Kuosmanen, ,2003-2007,Pekka_Kuosmanen
87,"Kurvinen, Esko",Kokoomus,Esko,Kurvinen, ,2003-2007,Esko_Kurvinen
88,"Kähkönen, Lauri",SDP,Lauri,Kähkönen, ,2003-2007,Lauri_Kähkönen
89,"Kärkkäinen, Kari",Kristillisdemokraatit,Kari,Kärkkäinen, ,2003-2007,Kari_Kärkkäinen
90,"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen, Puolustusministeri;;,2003-2007,Seppo_Kääriäinen
91,"Laakso, Jaakko",Vasemmistoliitto,Jaakko,Laakso, ,2003-2007,Jaakko_Laakso
92,"Lahtela, Esa",SDP,Esa,Lahtela, ,2003-2007,Esa_Lahtela
93,"Lahtela, Seppo",Keskusta,Seppo,Lahtela, ,2003-2007,Seppo_Lahtela
94,"Lahti, Jere",Kokoomus,Jere,Lahti, ,2003-2007,Jere_Lahti
95,"Laitinen, Reijo",SDP,Reijo,Laitinen, ,2003-2007,Reijo_Laitinen
96,"Lamminen, Kalevi",Kokoomus,Kalevi,Lamminen, ,2003-2007,Kalevi_Lamminen
97,"Lankia, Eero",Keskusta,Eero,Lankia, ,2003-2007,Eero_Lankia
98,"Lapintie, Annika",Vasemmistoliitto,Annika,Lapintie, ,2003-2007,Annika_Lapintie
99,"Laukkanen, Markku",Keskusta,Markku,Laukkanen, ,2003-2007,Markku_Laukkanen
100,"Lax, Henrik",RKP,Henrik,Lax, ,2003-2007,Henrik_Lax
101,"Laxell, Jouko",Kokoomus,Jouko,Laxell, ,2003-2007,Jouko_Laxell
102,"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki, Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ministeri kauppa- ja teollisuusministeriössä;;Ministeri valtioneuvoston kansliassa;; Ministeri valtioneuvoston kansliassa;; Ulkomaankauppa- ja kehitysministeri;; Ulkomaankauppa- ja kehitysministeri;;,2003-2007,Paula_Lehtomäki
103,"Leppä, Jari",Keskusta,Jari,Leppä, ,2003-2007,Jari_Leppä
104,"Lindén, Suvi",Kokoomus,Suvi,Lindén, ,2003-2007,Suvi_Lindén
105,"Lindqvist, Maija-Liisa",Keskusta,Maija-Liisa,Lindqvist, ,2003-2007,Maija-Liisa_Lindqvist
106,"Lintilä, Mika",Keskusta,Mika,Lintilä, ,2003-2007,Mika_Lintilä
107,"Lintonen, Minna",SDP,Minna,Lintonen, ,2003-2007,Minna_Lintonen
108,"Lipponen, Paavo",SDP,Paavo,Lipponen, ,2003-2007,Paavo_Lipponen
109,"Luhtanen, Leena",SDP,Leena,Luhtanen, Liikenne- ja viestintäministeri;;Oikeusministeri;; Liikenne- ja viestintäministeri;;,2003-2007,Leena_Luhtanen
110,"Lämsä, Eero",Keskusta,Eero,Lämsä, ,2003-2007,Eero_Lämsä
111,"Löv, Pehr",RKP,Pehr,Löv, ,2003-2007,Pehr_Löv
112,"Manninen, Hannes",Keskusta,Hannes,Manninen, Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;Alue- ja kuntaministeri;; Ministeri ympäristöministeriössä;;,2003-2007,Hannes_Manninen
113,"Matikainen-Kallström, Marjo",Kokoomus,Marjo,Matikainen-Kallström, ,2003-2007,Marjo_Matikainen-Kallström
114,"Meriläinen, Rosa",Vihreät,Rosa,Meriläinen, ,2003-2007,Rosa_Meriläinen
115,"Moilanen-Savolainen, Riikka",Keskusta,Riikka,Moilanen-Savolainen, ,2003-2007,Riikka_Moilanen-Savolainen
116,"Mustajärvi, Markus",Vasemmistoliitto,Markus,Mustajärvi, ,2003-2007,Markus_Mustajärvi
117,"Mäkinen, Tapani",Kokoomus,Tapani,Mäkinen, ,2003-2007,Tapani_Mäkinen
118,"Mönkäre, Sinikka",SDP,Sinikka,Mönkäre, Sosiaali- ja terveysministeri;;Sosiaali- ja terveysministeri;;,2003-2007,Sinikka_Mönkäre
119,"Neittaanmäki, Petri",Keskusta,Petri,Neittaanmäki, ,2003-2007,Petri_Neittaanmäki
120,"Nepponen, Olli",Kokoomus,Olli,Nepponen, ,2003-2007,Olli_Nepponen
121,"Nousiainen, Pekka",Keskusta,Pekka,Nousiainen, ,2003-2007,Pekka_Nousiainen
122,"Nurmi, Tuija",Kokoomus,Tuija,Nurmi, ,2003-2007,Tuija_Nurmi
123,"Nylander, Mikaela",RKP,Mikaela,Nylander, ,2003-2007,Mikaela_Nylander
124,"Oinonen, Lauri",Keskusta,Lauri,Oinonen, ,2003-2007,Lauri_Oinonen
125,"Ojala, Outi",Vasemmistoliitto,Outi,Ojala, ,2003-2007,Outi_Ojala
126,"Ojala, Reino",SDP,Reino,Ojala, ,2003-2007,Reino_Ojala
127,"Ojansuu, Kirsi",Vihreät,Kirsi,Ojansuu, ,2003-2007,Kirsi_Ojansuu
128,"Olin, Kalevi",SDP,Kalevi,Olin, ,2003-2007,Kalevi_Olin
129,"Ollila, Heikki",Kokoomus,Heikki,Ollila, ,2003-2007,Heikki_Ollila
130,"Paajanen, Reijo",Kokoomus,Reijo,Paajanen, ,2003-2007,Reijo_Paajanen
131,"Paatero, Sirpa",SDP,Sirpa,Paatero, ,2003-2007,Sirpa_Paatero
132,"Paasio, Heli",SDP,Heli,Paasio, ,2003-2007,Heli_Paasio
133,"Paloniemi, Aila",Keskusta,Aila,Paloniemi, ,2003-2007,Aila_Paloniemi
134,"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen, Kauppa- ja teollisuusministeri;;Kauppa- ja teollisuusministeri;;,2003-2007,Mauri_Pekkarinen
135,"Peltokorpi, Terhi",Keskusta,Terhi,Peltokorpi, ,2003-2007,Terhi_Peltokorpi
136,"Peltomo, Pirkko",SDP,Pirkko,Peltomo, ,2003-2007,Pirkko_Peltomo
137,"Pentti, Klaus",Keskusta,Klaus,Pentti, ,2003-2007,Klaus_Pentti
138,"Perho, Maija",Kokoomus,Maija,Perho, ,2003-2007,Maija_Perho
139,"Polvi, Iivo",Vasemmistoliitto,Iivo,Polvi, ,2003-2007,Iivo_Polvi
140,"Puhjo, Veijo",Vasemmistoliitto,Veijo,Puhjo, ,2003-2007,Veijo_Puhjo
141,"Puisto, Virpa",SDP,Virpa,Puisto, ,2003-2007,Virpa_Puisto
142,"Pulliainen, Erkki",Vihreät,Erkki,Pulliainen, ,2003-2007,Erkki_Pulliainen
143,"Rahkonen, Susanna",SDP,Susanna,Rahkonen, ,2003-2007,Susanna_Rahkonen
144,"Rajala, Lyly",Kristillisdemokraatit,Lyly,Rajala, ,2003-2007,Lyly_Rajala
145,"Rajamäki, Kari",SDP,Kari,Rajamäki, Sisäasiainministeri;;Sisäasiainministeri;;,2003-2007,Kari_Rajamäki
146,"Rantakangas, Antti",Keskusta,Antti,Rantakangas, ,2003-2007,Antti_Rantakangas
147,"Ranta-Muotio, Aulis",Keskusta,Aulis,Ranta-Muotio, ,2003-2007,Aulis_Ranta-Muotio
148,"Rask, Maija",SDP,Maija,Rask, ,2003-2007,Maija_Rask
149,"Rauhala, Leena",Kristillisdemokraatit,Leena,Rauhala, ,2003-2007,Leena_Rauhala
150,"Rehula, Juha",Keskusta,Juha,Rehula, ,2003-2007,Juha_Rehula
151,"Reijonen, Eero",Keskusta,Eero,Reijonen, ,2003-2007,Eero_Reijonen
152,"Risikko, Paula",Kokoomus,Paula,Risikko, ,2003-2007,Paula_Risikko
153,"Roos, Jukka",SDP,Jukka,Roos, ,2003-2007,Jukka_Roos
154,"Rossi, Markku",Keskusta,Markku,Rossi, ,2003-2007,Markku_Rossi
155,"Rundgren, Simo",Keskusta,Simo,Rundgren, ,2003-2007,Simo_Rundgren
156,"Räsänen, Päivi",Kristillisdemokraatit,Päivi,Räsänen, ,2003-2007,Päivi_Räsänen
157,"Rönni, Tero",SDP,Tero,Rönni, ,2003-2007,Tero_Rönni
158,"Saarikangas, Martin",Kokoomus,Martin,Saarikangas, ,2003-2007,Martin_Saarikangas
159,"Saarinen, Matti",SDP,Matti,Saarinen, ,2003-2007,Matti_Saarinen
160,"Salo, Mauri",Keskusta,Mauri,Salo, ,2003-2007,Mauri_Salo
161,"Salo, Petri",Kokoomus,Petri,Salo, ,2003-2007,Petri_Salo
162,"Salovaara, Pertti",Keskusta,Pertti,Salovaara, ,2003-2007,Pertti_Salovaara
163,"Sarkomaa, Sari",Kokoomus,Sari,Sarkomaa, ,2003-2007,Sari_Sarkomaa
164,"Sasi, Kimmo",Kokoomus,Kimmo,Sasi, ,2003-2007,Kimmo_Sasi
165,"Satonen, Arto",Kokoomus,Arto,Satonen, ,2003-2007,Arto_Satonen
166,"Seppälä, Arto",SDP,Arto,Seppälä, ,2003-2007,Arto_Seppälä
167,"Seppälä, Timo",Kokoomus,Timo,Seppälä, ,2003-2007,Timo_Seppälä
168,"Siimes, Suvi-Anne",Vasemmistoliitto,Suvi-Anne,Siimes, ,2003-2007,Suvi-Anne_Siimes
169,"Sinnemäki, Anni",Vihreät,Anni,Sinnemäki, ,2003-2007,Anni_Sinnemäki
170,"Sirnö, Minna",Vasemmistoliitto,Minna,Sirnö, ,2003-2007,Minna_Sirnö
171,"Sjöblom, Juhani",Kokoomus,Juhani,Sjöblom, ,2003-2007,Juhani_Sjöblom
172,"Skinnari, Jouko",SDP,Jouko,Skinnari, ,2003-2007,Jouko_Skinnari
173,"Soini, Timo",Perussuomalaiset,Timo,Soini, ,2003-2007,Timo_Soini
174,"Soininvaara, Osmo",Vihreät,Osmo,Soininvaara, ,2003-2007,Osmo_Soininvaara
175,"Sumuvuori, Johanna",Vihreät,Johanna,Sumuvuori, ,2003-2007,Johanna_Sumuvuori
176,"Särkiniemi, Seppo",Keskusta,Seppo,Särkiniemi, ,2003-2007,Seppo_Särkiniemi
177,"Tahvanainen, Säde",SDP,Säde,Tahvanainen, ,2003-2007,Säde_Tahvanainen
178,"Taipale, Ilkka",SDP,Ilkka,Taipale, ,2003-2007,Ilkka_Taipale
179,"Taiveaho, Satu",SDP,Satu,Taiveaho, ,2003-2007,Satu_Taiveaho
180,"Takkula, Hannu",Keskusta,Hannu,Takkula, ,2003-2007,Hannu_Takkula
181,"Tennilä, Esko-Juhani",Vasemmistoliitto,Esko-Juhani,Tennilä, ,2003-2007,Esko-Juhani_Tennilä
182,"Thors, Astrid",RKP,Astrid,Thors, ,2003-2007,Astrid_Thors
183,"Tiilikainen, Kimmo",Keskusta,Kimmo,Tiilikainen, ,2003-2007,Kimmo_Tiilikainen
184,"Tiura, Marja",Kokoomus,Marja,Tiura, ,2003-2007,Marja_Tiura
185,"Tiusanen, Pentti",Vasemmistoliitto,Pentti,Tiusanen, ,2003-2007,Pentti_Tiusanen
186,"Tulonen, Irja",Kokoomus,Irja,Tulonen, ,2003-2007,Irja_Tulonen
187,"Tuomioja, Erkki",SDP,Erkki,Tuomioja, Ulkoasiainministeri;;Ulkoasiainministeri;;,2003-2007,Erkki_Tuomioja
188,"Tynkkynen, Oras",Vihreät,Oras,Tynkkynen, ,2003-2007,Oras_Tynkkynen
189,"Tölli, Tapani",Keskusta,Tapani,Tölli, ,2003-2007,Tapani_Tölli
190,"Uotila, Kari",Vasemmistoliitto,Kari,Uotila, ,2003-2007,Kari_Uotila
191,"Urpilainen, Jutta",SDP,Jutta,Urpilainen, ,2003-2007,Jutta_Urpilainen
192,"Vahasalo, Raija",Kokoomus,Raija,Vahasalo, ,2003-2007,Raija_Vahasalo
193,"Wallin, Harry",SDP,Harry,Wallin, ,2003-2007,Harry_Wallin
194,"Valpas, Unto",Vasemmistoliitto,Unto,Valpas, ,2003-2007,Unto_Valpas
195,"Vanhanen, Matti",Keskusta,Matti,Vanhanen, Puolustusministeri;;Pääministeri;;,2003-2007,Matti_Vanhanen
196,"Vapaavuori, Jan",Kokoomus,Jan,Vapaavuori, ,2003-2007,Jan_Vapaavuori
197,"Wideroos, Ulla-Maj",RKP,Ulla-Maj,Wideroos, Toinen valtiovarainministeri;;Toinen valtiovarainministeri;;,2003-2007,Ulla-Maj_Wideroos
198,"Vielma, Ahti",Kokoomus,Ahti,Vielma, ,2003-2007,Ahti_Vielma
199,"Vihriälä, Jukka",Keskusta,Jukka,Vihriälä, ,2003-2007,Jukka_Vihriälä
200,"Viitanen, Pia",SDP,Pia,Viitanen, ,2003-2007,Pia_Viitanen
201,"Vilén, Jari",Kokoomus,Jari,Vilén, ,2003-2007,Jari_Vilén
202,"Vilkuna, Pekka",Keskusta,Pekka,Vilkuna, ,2003-2007,Pekka_Vilkuna
203,"Virén, Lasse",Kokoomus,Lasse,Virén, ,2003-2007,Lasse_Virén
204,"Virtanen, Erkki",Vasemmistoliitto,Erkki,Virtanen, ,2003-2007,Erkki_Virtanen
205,"Vistbacka, Raimo",Perussuomalaiset,Raimo,Vistbacka, ,2003-2007,Raimo_Vistbacka
206,"Väistö, Matti",Keskusta,Matti,Väistö, ,2003-2007,Matti_Väistö
207,"Väätäinen, Tuula",SDP,Tuula,Väätäinen, ,2003-2007,Tuula_Väätäinen
208,"Ylä-Mononen, Jaana",Keskusta,Jaana,Ylä-Mononen, ,2003-2007,Jaana_Ylä-Mononen
209,"Zyskowicz, Ben",Kokoomus,Ben,Zyskowicz, ,2003-2007,Ben_Zyskowicz
0,"Matti, Ahde",SDP,Matti,Ahde, ,2007-2011,Matti_Ahde
1,"Esko, Ahonen",Keskusta,Esko,Ahonen, ,2007-2011,Esko_Ahonen
2,"Eero, Akaan-Penttilä",Kokoomus,Eero,Akaan-Penttilä, ,2007-2011,Eero_Akaan-Penttilä
3,"Outi, Alanko-Kahiluoto",Vihreät,Outi,Alanko-Kahiluoto, ,2007-2011,Outi_Alanko-Kahiluoto
4,"Mikko, Alatalo",Keskusta,Mikko,Alatalo, ,2007-2011,Mikko_Alatalo
5,"Claes, Andersson",Vasemmistoliitto,Claes,Andersson, ,2007-2011,Claes_Andersson
6,"Janina, Andersson",Vihreät,Janina,Andersson, ,2007-2011,Janina_Andersson
7,"Sirkka-Liisa, Anttila",Keskusta,Sirkka-Liisa,Anttila, Maa- ja metsätalousministeri;;Maa- ja metsätalousministeri;;,2007-2011,Sirkka-Liisa_Anttila
8,"Paavo, Arhinmäki",Vasemmistoliitto,Paavo,Arhinmäki, ,2007-2011,Paavo_Arhinmäki
9,"Marko, Asell",SDP,Marko,Asell, ,2007-2011,Marko_Asell
10,"Sirpa, Asko-Seljavaara",Kokoomus,Sirpa,Asko-Seljavaara, ,2007-2011,Sirpa_Asko-Seljavaara
11,"Risto, Autio",Keskusta,Risto,Autio, ,2007-2011,Risto_Autio
12,"Thomas, Blomqvist",RKP,Thomas,Blomqvist, ,2007-2011,Thomas_Blomqvist
13,"Tuija, Brax",Vihreät,Tuija,Brax, Oikeusministeri;;Oikeusministeri;;,2007-2011,Tuija_Brax
14,"Maarit, Feldt-Ranta",SDP,Maarit,Feldt-Ranta, ,2007-2011,Maarit_Feldt-Ranta
15,"Tarja, Filatov",SDP,Tarja,Filatov, ,2007-2011,Tarja_Filatov
16,"Merikukka, Forsius",Vihreät,Merikukka,Forsius, ,2007-2011,Merikukka_Forsius
17,"Christina, Gestrin",RKP,Christina,Gestrin, ,2007-2011,Christina_Gestrin
18,"Jukka, Gustafsson",SDP,Jukka,Gustafsson, ,2007-2011,Jukka_Gustafsson
19,"Maria, Guzenina-Richardson",SDP,Maria,Guzenina-Richardson, ,2007-2011,Maria_Guzenina-Richardson
20,"Susanna, Haapoja",Keskusta,Susanna,Haapoja, ,2007-2011,Susanna_Haapoja
21,"Tuula, Haatainen",SDP,Tuula,Haatainen, ,2007-2011,Tuula_Haatainen
22,"Pekka, Haavisto",Vihreät,Pekka,Haavisto, ,2007-2011,Pekka_Haavisto
23,"Juha, Hakola",Kokoomus,Juha,Hakola, ,2007-2011,Juha_Hakola
24,"Leena, Harkimo",Kokoomus,Leena,Harkimo, ,2007-2011,Leena_Harkimo
25,"Heidi, Hautala",Vihreät,Heidi,Hautala, ,2007-2011,Heidi_Hautala
26,"Lasse, Hautala",Keskusta,Lasse,Hautala, ,2007-2011,Lasse_Hautala
27,"Hannakaisa, Heikkinen",Keskusta,Hannakaisa,Heikkinen, ,2007-2011,Hannakaisa_Heikkinen
28,"Timo, Heinonen",Kokoomus,Timo,Heinonen, ,2007-2011,Timo_Heinonen
29,"Eero, Heinäluoma",SDP,Eero,Heinäluoma, ,2007-2011,Eero_Heinäluoma
30,"Pertti, Hemmilä",Kokoomus,Pertti,Hemmilä, ,2007-2011,Pertti_Hemmilä
31,"Hanna-Leena, Hemming",Kokoomus,Hanna-Leena,Hemming, ,2007-2011,Hanna-Leena_Hemming
32,"Anna-Maja, Henriksson",RKP,Anna-Maja,Henriksson, ,2007-2011,Anna-Maja_Henriksson
33,"Rakel, Hiltunen",SDP,Rakel,Hiltunen, ,2007-2011,Rakel_Hiltunen
34,"Anne, Holmlund",Kokoomus,Anne,Holmlund, Sisäasiainministeri;;Sisäasiainministeri;;,2007-2011,Anne_Holmlund
35,"Hannu, Hoskonen",Keskusta,Hannu,Hoskonen, ,2007-2011,Hannu_Hoskonen
36,"Susanna, Huovinen",SDP,Susanna,Huovinen, ,2007-2011,Susanna_Huovinen
37,"Sinikka, Hurskainen",SDP,Sinikka,Hurskainen, ,2007-2011,Sinikka_Hurskainen
38,"Liisa, Hyssälä",Keskusta,Liisa,Hyssälä, Sosiaali- ja terveysministeri;; Ministeri työministeriössä;;,2007-2011,Liisa_Hyssälä
39,"Jyri, Häkämies",Kokoomus,Jyri,Häkämies, Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;Ministeri valtioneuvoston kansliassa;; Puolustusministeri;;,2007-2011,Jyri_Häkämies
40,"Tuomo, Hänninen",Keskusta,Tuomo,Hänninen, ,2007-2011,Tuomo_Hänninen
41,"Liisa, Jaakonsaari",SDP,Liisa,Jaakonsaari, ,2007-2011,Liisa_Jaakonsaari
42,"Harri, Jaskari",Kokoomus,Harri,Jaskari, ,2007-2011,Harri_Jaskari
43,"Kalle, Jokinen",Kokoomus,Kalle,Jokinen, ,2007-2011,Kalle_Jokinen
44,"Timo, Juurikkala",Vihreät,Timo,Juurikkala, ,2007-2011,Timo_Juurikkala
45,"Heli, Järvinen",Vihreät,Heli,Järvinen, ,2007-2011,Heli_Järvinen
46,"Pietari, Jääskeläinen",Perussuomalaiset,Pietari,Jääskeläinen, ,2007-2011,Pietari_Jääskeläinen
47,"Antti, Kaikkonen",Keskusta,Antti,Kaikkonen, ,2007-2011,Antti_Kaikkonen
48,"Antti, Kalliomäki",SDP,Antti,Kalliomäki, ,2007-2011,Antti_Kalliomäki
49,"Reijo, Kallio",SDP,Reijo,Kallio, ,2007-2011,Reijo_Kallio
50,"Bjarne, Kallis",Kristillisdemokraatit,Bjarne,Kallis, ,2007-2011,Bjarne_Kallis
51,"Timo, Kalli",Keskusta,Timo,Kalli, ,2007-2011,Timo_Kalli
52,"Anne, Kalmari",Keskusta,Anne,Kalmari, ,2007-2011,Anne_Kalmari
53,"Oiva, Kaltiokumpu",Keskusta,Oiva,Kaltiokumpu, ,2007-2011,Oiva_Kaltiokumpu
54,"Ilkka, Kanerva",Kokoomus,Ilkka,Kanerva, Ulkoasiainministeri;;,2007-2011,Ilkka_Kanerva
55,"Matti, Kangas",Vasemmistoliitto,Matti,Kangas, ,2007-2011,Matti_Kangas
56,"Toimi, Kankaanniemi",Kristillisdemokraatit,Toimi,Kankaanniemi, ,2007-2011,Toimi_Kankaanniemi
57,"Ilkka, Kantola",SDP,Ilkka,Kantola, ,2007-2011,Ilkka_Kantola
58,"Saara, Karhu",SDP,Saara,Karhu, ,2007-2011,Saara_Karhu
59,"Arja, Karhuvaara",Kokoomus,Arja,Karhuvaara, ,2007-2011,Arja_Karhuvaara
60,"Johanna, Karimäki",Vihreät,Johanna,Karimäki, ,2007-2011,Johanna_Karimäki
61,"Kyösti, Karjula",Keskusta,Kyösti,Karjula, ,2007-2011,Kyösti_Karjula
62,"Tanja, Karpela",Keskusta,Tanja,Karpela, ,2007-2011,Tanja_Karpela
63,"Ulla, Karvo",Kokoomus,Ulla,Karvo, ,2007-2011,Ulla_Karvo
64,"Jyrki, Kasvi",Vihreät,Jyrki,Kasvi, ,2007-2011,Jyrki_Kasvi
65,"Elsi, Katainen",Keskusta,Elsi,Katainen, ,2007-2011,Elsi_Katainen
66,"Jyrki, Katainen",Kokoomus,Jyrki,Katainen, Pääministerin sijainen;; Valtiovarainministeri;;Pääministerin sijainen;; Valtiovarainministeri;;,2007-2011,Jyrki_Katainen
67,"Sampsa, Kataja",Kokoomus,Sampsa,Kataja, ,2007-2011,Sampsa_Kataja
68,"Timo, Kaunisto",Keskusta,Timo,Kaunisto, ,2007-2011,Timo_Kaunisto
69,"Matti, Kauppila",Vasemmistoliitto,Matti,Kauppila, ,2007-2011,Matti_Kauppila
70,"Inkeri, Kerola",Keskusta,Inkeri,Kerola, ,2007-2011,Inkeri_Kerola
71,"Anneli, Kiljunen",SDP,Anneli,Kiljunen, ,2007-2011,Anneli_Kiljunen
72,"Kimmo, Kiljunen",SDP,Kimmo,Kiljunen, ,2007-2011,Kimmo_Kiljunen
73,"Krista, Kiuru",SDP,Krista,Kiuru, ,2007-2011,Krista_Kiuru
74,"Mari, Kiviniemi",Keskusta,Mari,Kiviniemi, Ministeri sisäasiainministeriössä;; Hallinto- ja kuntaministeri;;Pääministeri;;,2007-2011,Mari_Kiviniemi
75,"Esko, Kiviranta",Keskusta,Esko,Kiviranta, ,2007-2011,Esko_Kiviranta
76,"Katri, Komi",Keskusta,Katri,Komi, ,2007-2011,Katri_Komi
77,"Martti, Korhonen",Vasemmistoliitto,Martti,Korhonen, ,2007-2011,Martti_Korhonen
78,"Timo, Korhonen",Keskusta,Timo,Korhonen, ,2007-2011,Timo_Korhonen
79,"Juha, Korkeaoja",Keskusta,Juha,Korkeaoja, ,2007-2011,Juha_Korkeaoja
80,"Jari, Koskinen",Kokoomus,Jari,Koskinen, ,2007-2011,Jari_Koskinen
81,"Johannes, Koskinen",SDP,Johannes,Koskinen, ,2007-2011,Johannes_Koskinen
82,"Marjaana, Koskinen",SDP,Marjaana,Koskinen, ,2007-2011,Marjaana_Koskinen
83,"Valto, Koski",SDP,Valto,Koski, ,2007-2011,Valto_Koski
84,"Risto, Kuisma",SDP,Risto,Kuisma, ,2007-2011,Risto_Kuisma
85,"Miapetra, Kumpula-Natri",SDP,Miapetra,Kumpula-Natri, ,2007-2011,Miapetra_Kumpula-Natri
86,"Mikko, Kuoppa",Vasemmistoliitto,Mikko,Kuoppa, ,2007-2011,Mikko_Kuoppa
87,"Merja, Kuusisto",SDP,Merja,Kuusisto, ,2007-2011,Merja_Kuusisto
88,"Merja, Kyllönen",Vasemmistoliitto,Merja,Kyllönen, ,2007-2011,Merja_Kyllönen
89,"Lauri, Kähkönen",SDP,Lauri,Kähkönen, ,2007-2011,Lauri_Kähkönen
90,"Kari, Kärkkäinen",Kristillisdemokraatit,Kari,Kärkkäinen, ,2007-2011,Kari_Kärkkäinen
91,"Seppo, Kääriäinen",Keskusta,Seppo,Kääriäinen, ,2007-2011,Seppo_Kääriäinen
92,"Jaakko, Laakso",Vasemmistoliitto,Jaakko,Laakso, ,2007-2011,Jaakko_Laakso
93,"Esa, Lahtela",SDP,Esa,Lahtela, ,2007-2011,Esa_Lahtela
94,"Reijo, Laitinen",SDP,Reijo,Laitinen, ,2007-2011,Reijo_Laitinen
95,"Annika, Lapintie",Vasemmistoliitto,Annika,Lapintie, ,2007-2011,Annika_Lapintie
96,"Jari, Larikka",Kokoomus,Jari,Larikka, ,2007-2011,Jari_Larikka
97,"Markku, Laukkanen",Keskusta,Markku,Laukkanen, ,2007-2011,Markku_Laukkanen
98,"Sanna, Lauslahti",Kokoomus,Sanna,Lauslahti, ,2007-2011,Sanna_Lauslahti
99,"Jouko, Laxell",Kokoomus,Jouko,Laxell, ,2007-2011,Jouko_Laxell
100,"Eero, Lehti",Kokoomus,Eero,Lehti, ,2007-2011,Eero_Lehti
101,"Paula, Lehtomäki",Keskusta,Paula,Lehtomäki, Ympäristöministeri;; Ympäristöministeri;;Ympäristöministeri;;,2007-2011,Paula_Lehtomäki
102,"Jari, Leppä",Keskusta,Jari,Leppä, ,2007-2011,Jari_Leppä
103,"Suvi, Lindén",Kokoomus,Suvi,Lindén, Viestintäministeri;;Viestintäministeri;;,2007-2011,Suvi_Lindén
104,"Mika, Lintilä",Keskusta,Mika,Lintilä, ,2007-2011,Mika_Lintilä
